Pressure,IsSleeping
0.028,0
0.029,0
0.03,0
0.03,0
0.027,0
0.027,0
0.029,0
0.028,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.027,0
0.029,0
0.028,0
0.029,0
0.029,0
0.029,0
0.029,0
0.027,0
0.029,0
0.028,0
0.028,0
0.029,0
0.029,0
0.028,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.028,0
0.027,0
0.028,0
0.028,0
0.029,0
0.027,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.03,0
0.03,0
0.028,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.027,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.03,0
0.028,0
0.03,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.028,0
0.03,0
0.029,0
0.027,0
0.029,0
0.028,0
0.029,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.027,0
0.03,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.028,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.03,0
0.027,0
0.027,0
0.029,0
0.028,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.027,0
0.029,0
0.028,0
0.029,0
0.029,0
0.029,0
0.029,0
0.027,0
0.029,0
0.028,0
0.028,0
0.029,0
0.029,0
0.028,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.028,0
0.027,0
0.028,0
0.028,0
0.029,0
0.027,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.03,0
0.03,0
0.028,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.027,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.03,0
0.028,0
0.03,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.028,0
0.03,0
0.029,0
0.027,0
0.029,0
0.028,0
0.029,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.027,0
0.03,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.028,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.03,0
0.027,0
0.027,0
0.029,0
0.028,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.027,0
0.029,0
0.028,0
0.029,0
0.029,0
0.029,0
0.029,0
0.027,0
0.029,0
0.028,0
0.028,0
0.029,0
0.029,0
0.028,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.028,0
0.027,0
0.028,0
0.028,0
0.029,0
0.027,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.03,0
0.03,0
0.028,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.027,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.03,0
0.028,0
0.03,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.028,0
0.03,0
0.029,0
0.027,0
0.029,0
0.028,0
0.029,0
0.028,0
0.027,0
0.029,0
0.029,0
0.03,0
0.029,0
0.029,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.027,0
0.03,0
0.029,0
0.03,0
0.029,0
0.028,0
0.029,0
0.029,0
0.028,0
0.03,0
0.03,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
0.029,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.029,0
0.029,0
0.028,0
0.029,0
0.03,0
0.028,0
0.029,0
0.029,0
0.029,0
0.03,0
0.027,0
0.029,0
0.03,0
0.029,0
